customer_id,first_name,last_name,date_of_birth,email,phone_number,address,city,state,postal_code,country,annual_income,employment_status,account_open_date,credit_score
102,Nicole,Fernandez,7/8/1986,ushields@example.com,001-221-344-6071,608 Julie Manors Suite 842,Little Rock,Arkansas,71700,United States,45183,Employed,6/7/2021,437
103,Mary,Delgado,2/16/1989,karenharrington@example.net,+1-349-293-0144x5032,6833 Michael Green,Frankfort,Kentucky,40553,United States,64152,Employed,10/23/2017,459
104,Kevin,Sutton,4/13/2003,espinozachristopher@example.net,(272)838-4327,29933 Miller Manors,Springfield,Illinois,62912,United States,5622,Student,6/8/2023,515
105,James,Waller,7/6/1995,fieldsjohnathan@example.org,260.479.5177x5922,67471 Shaw Square Suite 553,Helena,Montana,59047,United States,13689,Unemployed,10/21/2023,570
106,Douglas,Miller,10/26/1978,torreskevin@example.org,+1-924-926-8256x610,85906 Mccoy Lake,Denver,Colorado,81614,United States,115161,Self-Employed,6/9/2020,352
107,Mitchell,Franklin,8/6/1956,kanelisa@example.org,(461)933-0210,3612 Bennett Unions,Cheyenne,Wyoming,82172,United States,74400,Retired,12/17/2016,583
108,Michele,Ray,4/14/1969,paigerojas@example.org,+1-845-388-5611x2308,5640 Hall Ports Apt. 953,Atlanta,Georgia,34807,United States,84992,Self-Employed,8/10/2018,433
109,Allison,Robinson,6/17/1971,tinacarey@example.net,803-397-9231x0213,917 Patricia Corners Apt. 104,Austin,Texas,73507,United States,100725,Self-Employed,8/8/2017,465
110,Joel,David,11/19/2004,shannon03@example.com,001-893-258-2475,48275 Morton Burgs,Albany,New York,11625,United States,7102,Student,9/18/2022,737
111,Gina,Hernandez,7/14/1984,robertschristine@example.org,951.937.6799x400,47407 Michael Club,Des Moines,Iowa,51997,United States,60778,Employed,4/11/2019,377
112,Karen,Hudson,9/24/1997,kevincruz@example.org,948.575.0454x655,19120 Meyer Heights Suite 167,Providence,Rhode Island,2899,United States,14302,Unemployed,1/30/2022,336
113,Scott,Hays,11/5/2004,nholden@example.org,260-309-9296,88250 Brendan Shores Apt. 323,Carson City,Nevada,89198,United States,10976,Student,1/30/2016,451
114,Jamie,Bird,2/19/1996,lisa18@example.com,+1-270-430-9487x167,926 Patrick Motorway,Topeka,Kansas,67049,United States,48692,Employed,8/10/2019,615
115,Diane,Ortiz,9/29/1990,umarquez@example.net,976-800-5918x11354,513 Debbie Rue Suite 299,Tallahassee,Florida,33510,United States,43443,Employed,2/13/2016,666
116,Andrew,Byrd,4/30/1995,wendyodonnell@example.net,(662)877-9130x902,7879 Bush Cliffs,Denver,Colorado,80850,United States,16090,Unemployed,6/8/2021,405
117,Jason,Villanueva,4/28/1992,jasmineanderson@example.net,(827)461-3723x2985,50193 Thompson Falls,Albany,New York,12078,United States,14306,Student,12/31/2016,716
118,Colleen,Reid,10/10/2000,vancekellie@example.net,(812)402-6719x80459,736 Sandra Fork Apt. 228,Austin,Texas,85705,United States,14421,Unemployed,5/17/2021,542
119,Christopher,Ortiz,9/14/1996,tholloway@example.com,522.940.7223x1070,792 Parsons Manors Suite 488,Concord,New Hampshire,3414,United States,14407,Unemployed,9/23/2024,722
120,Carlos,Flores,2/4/1982,davissteven@example.net,453-786-1589x925,6126 Owens Estate Apt. 338,Baton Rouge,Louisiana,70713,United States,67151,Self-Employed,1/13/2023,721
121,David,Hull,2/5/1980,melissa21@example.org,697.302.6775x95224,40796 Michael Flat Suite 320,Lansing,Michigan,49154,United States,19559,Unemployed,6/9/2023,573
122,Emily,Coleman,9/13/2000,iclark@example.net,522-352-8202x2205,867 Richard Divide,Honolulu,Hawaii,96795,United States,79848,Employed,7/5/2021,691
123,James,Hudson,3/23/1968,zburton@example.net,963.510.7435x511,4003 Martin Field Apt. 766,Nashville,Tennessee,38466,United States,71542,Retired,12/22/2016,527
124,Kyle,Costa,3/17/1966,uramos@example.com,439-967-8298x3864,1923 Brooks Extensions Apt. 688,Lincoln,Nebraska,68850,United States,62399,Retired,3/10/2018,658
125,Heather,Marquez,9/15/1992,johnsonlindsey@example.org,931.332.2593x245,924 Lisa Village,Boise,Idaho,83461,United States,11383,Unemployed,11/21/2018,528
126,Craig,Elliott,9/4/1995,henryking@example.net,(584)340-7122x1934,5096 Jeffrey Forest,Baton Rouge,Louisiana,71142,United States,17543,Unemployed,8/20/2024,708
127,Jean,Ward,5/8/1985,ycaldwell@example.net,(898)651-8100x240,1916 Benjamin Glen Suite 529,Columbus,Ohio,45689,United States,97083,Employed,2/12/2021,585
128,Alexis,Shah,4/28/1996,bentonwayne@example.com,+1-520-955-8488x573,276 Joan Summit,Madison,Wisconsin,53711,United States,13461,Student,12/14/2018,709
129,Krista,Mckay,7/14/1995,blackjason@example.org,001-252-260-6326,70390 Owens Avenue,Harrisburg,Pennsylvania,16870,United States,6146,Student,7/31/2017,639
130,Susan,Brown,7/21/1996,johnathan71@example.net,610.367.2837,623 Jeremy Highway Apt. 265,Montgomery,Alabama,36594,United States,73248,Employed,2/22/2021,567
131,Julian,Travis,7/23/1960,frank58@example.net,(689)975-2492x41007,9122 Jose Neck Apt. 667,Denver,Colorado,81190,United States,82701,Self-Employed,5/2/2023,339
132,Denise,Webster,3/26/1969,darrell68@example.net,+1-578-751-2347x0721,6151 Wallace Landing,Salt Lake City,Utah,84677,United States,64429,Retired,7/17/2022,653
133,Richard,Johnson,9/3/1968,nspencer@example.com,+1-306-625-0222x42928,2108 Young Freeway,Salem,Oregon,97851,United States,115915,Self-Employed,8/11/2021,746
134,Robert,Shepherd,8/31/1991,brittanyedwards@example.com,685.419.4804x91695,95037 Stephen Parkways Suite 399,Olympia,Washington,98123,United States,9921,Student,4/25/2024,418
135,Corey,Rogers,1/24/2002,wpeterson@example.net,001-879-858-2925,270 Willis Shoal Suite 709,Austin,Texas,87055,United States,9080,Student,4/12/2021,494
136,Jacqueline,Carter,8/11/1957,flowerskimberly@example.com,001-915-646-0017,0638 Andrea Plaza,Boston,Massachusetts,4630,United States,73498,Retired,1/26/2019,301
137,Jennifer,Sanders,7/13/1996,huntkathryn@example.org,905-231-2524x457,12036 Kimberly Tunnel,Topeka,Kansas,67824,United States,13596,Student,8/10/2023,501
138,Phyllis,Schmitt,7/11/1991,kfrazier@example.net,380.325.9339x10942,2515 Michelle Villages,Charleston,West Virginia,26858,United States,46745,Employed,1/27/2022,638
139,Amanda,Martinez,11/16/1998,morenobrittany@example.org,001-350-489-6919x349,091 Tracy Way,Olympia,Washington,98133,United States,54446,Employed,2/4/2015,607
140,Rachel,Phillips,7/19/1969,robin14@example.org,001-586-620-5003x45879,14992 John Springs Suite 247,Lincoln,Nebraska,69202,United States,78372,Retired,8/27/2019,634
141,Brett,Smith,4/23/1966,antonio99@example.com,9942897712,29231 Smith Freeway,Frankfort,Kentucky,41931,United States,79731,Self-Employed,7/28/2015,430
142,David,Noble,12/7/1960,youngchristina@example.org,8795505638,81209 Taylor Centers,Jefferson City,Missouri,65310,United States,70763,Retired,8/28/2017,478
143,Susan,Owens,10/8/1967,nancyjackson@example.com,(731)326-8467x7614,162 Parker Ferry Apt. 678,Honolulu,Hawaii,96769,United States,89344,Self-Employed,7/9/2019,715
144,Lisa,Hernandez,12/7/2000,cassie55@example.net,(898)622-5925x67925,0356 David Crossroad,Lincoln,Nebraska,69083,United States,40748,Employed,12/21/2020,611
145,Jeffrey,Burgess,4/6/1957,nguyenmichelle@example.net,(359)439-2948,74434 Alvarez Rapid,Trenton,New Jersey,7661,United States,64988,Retired,5/11/2021,629
146,Tonya,Neal,3/8/1967,ostone@example.net,001-474-725-4673,24187 Louis Mills,Indianapolis,Indiana,47544,United States,67681,Retired,4/21/2017,518
147,Kirk,Coleman,1/26/1999,stephanieshaw@example.com,217.737.2986x48984,20846 George Plain,Jackson,Mississippi,38768,United States,13137,Unemployed,2/13/2017,386
148,Joshua,Miller,9/6/1993,zewing@example.org,295.760.2193,6099 Chris Villages,Augusta,Maine,4634,United States,14193,Student,12/23/2017,643
149,Courtney,Macias,3/12/1986,garciamary@example.com,449-805-0840,13377 Snyder Squares Suite 381,Bismarck,North Dakota,58735,United States,18599,Unemployed,12/1/2018,617
150,Kelly,Arnold,10/18/1988,robertedwards@example.org,4489257035,060 Ashley Green Suite 229,Juneau,Alaska,99823,United States,17624,Unemployed,9/3/2020,450
151,Henry,Johnson,8/22/1997,hicksjasmine@example.org,(429)382-6941,16936 Franklin Glen Apt. 854,Concord,New Hampshire,3772,United States,11945,Unemployed,1/21/2017,786
152,Becky,Davis,3/30/1986,yballard@example.net,(707)733-1513x54057,67661 Maria View Apt. 145,Frankfort,Kentucky,40585,United States,64985,Employed,6/30/2015,766
153,Jason,Fitzpatrick,12/3/1998,lcruz@example.net,-3771,799 Cooper Lodge Suite 773,Baton Rouge,Louisiana,71201,United States,10288,Student,4/9/2023,499
154,Bobby,Avila,12/18/1951,umclean@example.com,(639)209-4368,609 David Court Apt. 356,Montpelier,Vermont,5747,United States,74676,Retired,8/6/2018,806
155,Lauren,Waller,4/28/1985,garciakelly@example.org,373.489.6793,7415 David Club Apt. 571,Albany,New York,12266,United States,10081,Unemployed,7/5/2022,305
156,Laura,Moore,3/3/1998,matthewparks@example.org,(378)793-0673x4927,68139 Jocelyn Skyway,Boston,Massachusetts,1674,United States,98933,Employed,12/8/2023,735
157,Andrea,Andrews,12/5/1995,burnspaige@example.org,366-429-2586,029 Shelia Port Apt. 433,Bismarck,North Dakota,58842,United States,8674,Student,12/16/2021,775
158,Christopher,Owen,8/3/1997,jacksonryan@example.com,373.774.3717x053,194 White Lock Suite 080,Austin,Texas,80611,United States,15179,Unemployed,10/28/2023,424
159,Andrea,Smith,8/5/1969,johnrobertson@example.net,001-502-226-3635,410 Brenda Shoals,Des Moines,Iowa,50586,United States,68685,Retired,2/16/2015,843
160,Monique,Carney,6/4/2000,oreynolds@example.org,346.519.6732,9078 Harmon Streets Suite 149,Olympia,Washington,98508,United States,12783,Student,4/24/2020,624
161,Ryan,Mason,12/17/1955,amybarnes@example.com,678-702-3657x235,04500 Mendez Street Apt. 960,Honolulu,Hawaii,96708,United States,71601,Retired,5/12/2015,816
162,Eric,Mills,12/17/2000,jeffrey76@example.org,880.226.3404x64700,2745 Houston Square,Indianapolis,Indiana,47551,United States,6775,Student,4/15/2017,756
163,Eric,Allen,2/22/1961,omorales@example.net,001-710-613-1847x201,9982 Mills Crest Apt. 359,Salem,Oregon,97442,United States,74446,Retired,7/31/2018,760
164,David,Boyd,10/30/1980,jasonnelson@example.com,-7372,410 Angela Shores Suite 733,Salem,Oregon,97782,United States,18541,Unemployed,9/8/2017,583
165,John,Stephens,7/14/1990,murphytodd@example.com,+1-942-708-9190x6740,24698 Arias Plains Apt. 708,Carson City,Nevada,89207,United States,11066,Student,6/29/2021,796
166,Sarah,Pollard,5/3/1962,gfinley@example.com,9683126605,735 Jesse Road Apt. 977,Frankfort,Kentucky,41327,United States,111893,Self-Employed,2/22/2023,750
